Function,x,y,True/False
Sine,25.9904,0.41138,1
Sine,-37.9738,0.0214318,1
Sine,-15.8054,-0.242215,1
Sine,-15.7934,-0.365133,1
Sine,-36.9476,0.631592,1
Sine,23.6455,-1.59495,1
Sine,6.5043,-0.226598,1
Sine,32.663,0.849847,1
Sine,42.8043,-1.1257,1
Sine,38.819,0.418701,1
Sine,-5.0634,0.62978,1
Sine,-22.6851,0.40795,1
Sine,11.7414,-0.579405,1
Sine,-21.6235,-0.137668,1
Sine,-32.1172,-1.03815,1
Sine,-3.98847,0.710458,1
Sine,-41.1332,0.279785,1
Sine,17.4515,-1.3474,1
Sine,-34.6703,-0.182513,1
Sine,29.6421,-1.31817,1
Sine,-3.06604,-0.37343,1
Sine,-10.3994,1.07752,1
Sine,-39.0869,-1.03049,1
Sine,-43.9701,-0.0221589,1
Sine,8.16286,0.681411,1
Sine,32.4654,1.24493,1
Sine,41.7144,-0.888295,1
Sine,-22.9097,0.569326,1
Sine,0.592356,0.402563,1
Sine,-29.3185,0.518542,1
Sine,-10.4176,1.00908,1
Sine,-14.0313,-1.31741,1
Sine,36.6218,-0.791154,1
Sine,39.1755,1.36458,1
Sine,-3.64676,0.380515,1
Sine,-37.1247,0.54604,1
Sine,-39.3637,-1.42514,1
Sine,24.4225,-0.924652,1
Sine,2.96179,0.393774,1
Sine,-18.7464,0.278743,1
Sine,-4.15513,0.764332,1
Sine,4.53561,-1.87959,1
Sine,21.7751,0.243103,1
Sine,47.6821,-0.509226,1
Sine,-31.5493,-0.405589,1
Sine,36.3897,-1.04565,1
Sine,37.3448,-0.448037,1
Sine,22.4898,-0.620991,1
Sine,44.2133,-0.0629936,1
Sine,-38.6315,-0.92949,1
Sine,27.92,0.0124943,1
Sine,32.8621,1.49838,1
Sine,-34.479,-0.191935,1
Sine,17.6867,-1.19922,1
Sine,-14.9476,-1.03612,1
Sine,-25.4687,-0.0247338,1
Sine,34.6701,-0.678149,1
Sine,43.6807,0.237196,1
Sine,-4.33124,1.46634,1
Sine,-11.8545,0.821948,1
Sine,-27.7858,-0.721042,1
Sine,45.5119,1.14497,1
Sine,-25.3333,-0.300744,1
Sine,-30.2395,0.917484,1
Sine,27.9179,0.84762,1
Sine,-5.96106,-0.444293,1
Sine,-42.1636,1.2959,1
Sine,-8.7577,-0.412437,1
Sine,-16.3495,0.805049,1
Sine,-35.3106,0.73826,1
Sine,15.9578,-0.571267,1
Sine,-26.1308,-0.896871,1
Sine,3.12084,0.359906,1
Sine,12.6927,-0.143146,1
Sine,13.4521,0.768802,1
Sine,-36.165,0.763323,1
Sine,12.8276,0.0646086,1
