Function,x,y,TruthVal
Power,-15.252,-3547.94,0
Power,18.0511,106174.,0
Power,-38.6374,2228602.,0
Power,21.3322,207083.,0
Power,-29.4962,756944.,0
Power,-40.6144,2720953.,0
Power,0.23308,0.59255,0
Power,37.8899,2061068.,0
Power,49.6207,6062499.,0
Power,-34.0544,1344904.,0
Power,27.8806,604240.,0
Power,27.7846,595960.,0
Power,24.4056,354778.,0
Power,-2.96851,78.1035,0
Power,-13.1381,29794.2,0
Power,21.1289,199299.,0
Power,-1.66869,7.97016,0
Power,-46.4017,4635911.,0
Power,-44.8987,4063841.,0
Power,47.3682,5034400.,0
Power,23.657,313211.,0
Power,48.1932,5394408.,0
Power,27.5324,574611.,0
Power,6.95297,2337.1,0
Power,-41.521,2972144.,0
Power,8.86923,6187.85,0
Power,34.2259,1372209.,0
Power,16.0122,65735.8,0
Power,26.6264,502634.,0
Power,-47.9411,5282430.,0
Power,-12.4019,23656.8,0
Power,-45.0183,4107316.,0
Power,31.2736,956556.,0
Power,-23.6202,311269.,0
Power,-2.86664,67.3354,0
Power,-3.749,197.457,0
Power,-34.5531,1425438.,0
Power,49.4315,5970569.,0
Power,-47.8871,5258653.,0
Power,-12.8432,27207.6,0
Power,-13.7573,35821.1,0
Power,-10.2187,10903.2,0
Power,-43.8624,3701443.,0
Power,-22.7462,267690.,0
Power,38.8495,2277939.,0
Power,-43.5345,3591986.,0
Power,49.081,5803028.,0
Power,1.43158,3.63261,0
Power,8.85895,6159.13,0
Power,0.435559,-0.163046,0
Power,45.5395,4300827.,0
Power,34.5645,1427311.,0
Power,7.80417,3709.16,0
Power,-37.0556,1885458.,0
Power,49.222,5869968.,0
Power,-18.9169,128056.,0
Power,-45.7801,4392466.,0
Power,15.2007,53388.7,0
Power,-14.173,40350.7,0
Power,-8.71594,5771.67,0
Power,-29.5766,765230.,0
Power,-21.7914,225496.,0
Power,38.3591,2165068.,0
Power,14.0553,39027.1,0
Power,-45.4835,4279727.,0
Power,-10.842,13817.9,0
Power,40.7834,2766512.,0
Power,-19.16,134766.,0
Power,44.0953,3780663.,0
Power,21.01,194851.,0
Power,36.0671,1692166.,0
Power,36.2611,1728869.,0
Power,-24.9193,385607.,0
Power,-21.4118,210190.,0
Power,39.4156,2413648.,0
Power,26.8362,518661.,0
Power,26.1456,467299.,0
Power,32.129,1065592.,0
Power,-29.4627,753514.,0
Power,2.29842,27.8645,0
Power,-32.1096,1063019.,0
Power,35.5644,1599785.,0
Power,-3.8252,214.023,0
Power,-27.6559,584990.,0
Power,-35.1473,1526046.,0
