Function,x,y,TruthVal
Sine,-12.6236,-0.0572282,1
Sine,18.9115,0.0619393,1
Sine,9.55429,-0.12915,1
Sine,-27.0667,-0.934764,1
Sine,17.7341,-0.898129,1
Sine,-37.413,0.28224,1
Sine,46.9666,0.156664,1
Sine,46.8993,0.222695,1
Sine,-27.842,-0.418995,1
Sine,4.21118,-0.877003,1
Sine,24.7663,-0.358271,1
Sine,-41.0705,0.227766,1
Sine,-31.8129,-0.386662,1
Sine,-18.2032,0.602275,1
Sine,-8.54906,-0.768001,1
Sine,-48.1354,0.847608,1
Sine,44.1069,0.124231,1
Sine,13.1538,0.554194,1
Sine,-46.0788,-0.864956,1
Sine,47.4686,-0.337969,1
Sine,-29.8486,0.999994,1
Sine,-5.69115,0.558054,1
Sine,24.2563,-0.768486,1
Sine,-35.8785,0.968947,1
Sine,-42.2514,0.987212,1
Sine,-33.9517,-0.569423,1
Sine,39.7337,0.894376,1
Sine,3.77367,-0.590819,1
Sine,-14.8015,-0.787324,1
Sine,-19.1737,-0.318506,1
Sine,-35.6308,0.878755,1
Sine,-39.7772,-0.874084,1
Sine,-39.2194,-0.998726,1
Sine,13.4401,0.766744,1
Sine,38.7578,0.871719,1
Sine,-15.5556,-0.151781,1
Sine,-24.0758,0.870865,1
Sine,-17.3523,0.997297,1
Sine,48.5051,-0.982074,1
Sine,35.254,-0.641524,1
Sine,10.0152,-0.556707,1
Sine,0.369977,0.361594,1
Sine,43.3737,-0.571712,1
Sine,15.1443,0.534273,1
Sine,-46.6692,-0.439181,1
Sine,-8.4835,-0.808311,1
Sine,8.46818,0.817233,1
Sine,-47.1898,0.0658733,1
Sine,-3.04685,-0.0945962,1
Sine,-23.327,0.972524,1
Sine,-49.4214,0.747357,1
Sine,-44.6196,-0.594991,1
Sine,14.8842,0.733708,1
Sine,-19.4393,-0.556114,1
Sine,5.16496,-0.899328,1
Sine,-17.4438,0.986407,1
Sine,20.474,0.99856,1
Sine,-21.8701,-0.120778,1
Sine,-16.6183,0.789686,1
Sine,-32.2406,-0.734293,1
Sine,0.517758,0.494933,1
Sine,-35.5038,0.811253,1
Sine,-35.1253,0.537777,1
Sine,42.201,-0.977919,1
Sine,-1.16693,-0.919548,1
Sine,-27.4503,-0.733911,1
Sine,4.25033,-0.895136,1
Sine,46.8449,0.275375,1
Sine,-18.8531,-0.00351113,1
Sine,-41.0655,0.222916,1
Sine,-24.3107,0.73256,1
Sine,-38.4298,-0.667356,1
Sine,38.7785,0.881675,1
Sine,42.2963,-0.993366,1
Sine,39.6164,0.94058,1
Sine,-33.8474,-0.651895,1
Sine,-40.5776,-0.260115,1
Sine,46.6036,0.497136,1
Sine,32.7583,0.974032,1
Sine,-21.129,-0.759229,1
Sine,28.8337,-0.530642,1
Sine,35.9936,-0.990946,1
Sine,34.4929,0.0645756,1
Sine,-49.4864,0.702597,1
Sine,49.2285,-0.860866,1
Sine,-2.74665,-0.384756,1
Sine,-47.9631,0.744121,1
Sine,-28.7067,0.41903,1
Sine,48.6521,-0.999092,1
Sine,-8.74969,-0.624966,1
Sine,-33.6074,-0.813507,1
Sine,-36.2914,0.986734,1
Sine,27.1239,0.912957,1
Sine,-26.1878,-0.869926,1
Sine,37.2088,-0.470921,1
Sine,-40.0032,-0.742957,1
Sine,44.7176,0.670829,1
Sine,-36.6051,0.888479,1
Sine,40.2897,0.523545,1
Sine,47.0813,0.0426237,1
Sine,-27.3849,-0.776708,1
Sine,-37.4664,0.230647,1
Sine,23.76,-0.980459,1
